Date,Price,Open,High,Low,Vol.,Change %
10/11/2017,"30,541","30,565","30,873","30,233",2.38M,-0.08%
9/11/2017,"30,565","30,328","30,920","30,328",3.85M,0.78%
8/11/2017,"30,328","29,925","30,328","29,925",2.00M,1.35%
7/11/2017,"29,925","30,115","30,186","29,831",1.62M,-0.55%
6/11/2017,"30,091","29,925","30,423","29,854",1.63M,1.19%
3/11/2017,"29,736","28,433","29,736","28,433",2.39M,4.58%
2/11/2017,"28,433","29,973","30,068","28,219",7.29M,-5.44%
1/11/2017,"30,068","30,541","30,541","29,973",2.46M,-1.24%
31/10/2017,"30,447","30,684","30,755","30,447",1.52M,-1.00%
30/10/2017,"30,755","31,371","31,371","30,565",2.35M,-0.91%
27/10/2017,"31,039","30,826","31,039","30,636",1.99M,0.54%
26/10/2017,"30,873","31,513","31,513","30,447",3.62M,-0.76%
25/10/2017,"31,110","30,565","31,110","30,447",2.35M,2.58%
24/10/2017,"30,328","29,594","30,328","29,594",3.23M,1.99%
23/10/2017,"29,736","30,091","30,186","29,736",3.55M,-1.57%
20/10/2017,"30,210","31,513","31,939","30,162",7.04M,-3.41%
19/10/2017,"31,276","30,447","31,276","30,447",2.57M,2.72%
18/10/2017,"30,447","30,281","30,849","30,115",3.16M,0.71%
17/10/2017,"30,233","30,091","30,328","29,973",1.76M,0.08%
16/10/2017,"30,210","29,736","30,210","29,736",1.87M,2.00%
13/10/2017,"29,617","29,143","29,617","29,143",2.16M,1.63%
12/10/2017,"29,143","29,120","29,262","29,001",2.09M,0.65%
11/10/2017,"28,954","29,262","29,428","28,954",2.06M,-1.05%
10/10/2017,"29,262","28,196","29,262","28,196",3.39M,3.78%
9/10/2017,"28,196","27,864","28,196","27,864",1.57M,1.28%
6/10/2017,"27,840","27,793","27,911","27,698",1.11M,0.43%
5/10/2017,"27,722","28,172","28,172","27,722",1.36M,-0.85%
4/10/2017,"27,959","27,959","28,267","27,888",1.27M,0.00%
3/10/2017,"27,959","27,793","28,125","27,746",2.21M,0.60%
2/10/2017,"27,793","27,556","27,935","27,556",1.20M,0.86%
29/09/2017,"27,556","27,485","27,651","27,437",761.00K,0.87%
28/09/2017,"27,319","27,366","27,722","27,224",2.43M,0.26%
27/09/2017,"27,248","27,722","27,840","27,248",1.86M,-1.79%
26/09/2017,"27,746","27,959","28,172","27,722",1.65M,-0.76%
25/09/2017,"27,959","27,722","28,290","27,722",2.21M,0.94%
22/09/2017,"27,698","27,035","27,698","27,035",3.52M,2.45%
21/09/2017,"27,035","27,011","27,224","27,011",885.36K,0.09%
20/09/2017,"27,011","27,011","27,082","26,916",936.40K,0.26%
19/09/2017,"26,940","27,058","27,201","26,845",1.54M,-0.44%
18/09/2017,"27,058","26,893","27,224","26,774",1.46M,0.35%
15/09/2017,"26,964","27,035","27,201","26,821",1.20M,-0.61%
14/09/2017,"27,129","27,248","27,461","27,035",1.54M,0.00%
13/09/2017,"27,129","26,750","27,319","26,750",3.49M,2.23%
12/9/2017,"26,537","26,205","26,537","26,182",1.23M,1.36%
11/9/2017,"26,182","26,040","26,656","26,040",3.32M,0.91%
8/9/2017,"25,945","25,708","26,016","25,708",1.27M,1.02%
7/9/2017,"25,684","25,708","25,897","25,660",1.02M,0.37%
6/9/2017,"25,589","25,566","25,826","25,542",1.08M,0.00%
5/9/2017,"25,589","25,921","25,945","25,589",1.67M,-1.28%
1/9/2017,"25,921","25,945","26,016","25,826",1.97M,0.00%
31/08/2017,"25,921","25,945","26,040","25,874",1.45M,-0.09%
30/08/2017,"25,945","25,352","26,063","25,329",4.64M,2.24%
29/08/2017,"25,376","25,163","25,589","25,163",2.04M,1.13%
28/08/2017,"25,092","25,068","25,092","24,902",1.54M,0.28%
25/08/2017,"25,021","24,997","25,092","24,784",1.10M,0.19%
24/08/2017,"24,973","24,642","25,021","24,618",1.78M,1.34%
23/08/2017,"24,642","24,902","24,997","24,618",1.81M,-1.04%
22/08/2017,"24,902","25,163","25,281","24,902",797.24K,-0.85%
21/08/2017,"25,115","25,021","25,163","24,926",1.11M,0.38%
18/08/2017,"25,021","25,021","25,305","24,760",1.28M,0.00%
17/08/2017,"25,021","25,352","25,447","25,021",1.74M,-1.67%
16/08/2017,"25,447","25,471","25,708","25,400",1.07M,0.09%
15/08/2017,"25,424","25,234","25,708","25,234",1.54M,0.75%
14/08/2017,"25,234","25,068","25,400","24,997",919.72K,0.66%
11/8/2017,"25,068","24,879","25,234","24,807",1.43M,0.57%
10/8/2017,"24,926","24,405","25,021","24,405",1.26M,0.86%
9/8/2017,"24,713","25,115","25,139","24,642",2.57M,-2.52%
8/8/2017,"25,352","25,826","25,850","25,281",1.61M,-2.02%
7/8/2017,"25,874","25,589","26,040","25,376",3.97M,2.54%
4/8/2017,"25,234","24,168","25,234","24,049",3.90M,6.39%
3/8/2017,"23,718","23,481","23,907","23,481",1.31M,0.61%
2/8/2017,"23,575","23,504","23,812","23,481",733.48K,0.00%
1/8/2017,"23,575","23,812","23,931","23,481",748.96K,-1.00%
31/07/2017,"23,812","23,931","24,002","23,694",921.60K,-0.50%
