Date,Price,Open,High,Low,Vol.,Change %
27/02/2017,"4,784.20","4,802.10","4,808.00","4,736.70",32.01M,-0.49%
24/02/2017,"4,808.00","4,814.00","4,843.70","4,766.40",19.47M,-0.37%
23/02/2017,"4,825.80","4,778.30","4,861.50","4,766.40",36.70M,1.00%
22/02/2017,"4,778.30","5,016.00","5,033.90","4,754.50",64.21M,-4.85%
21/02/2017,"5,022.00","4,974.40","5,039.80","4,950.70",35.06M,0.60%
20/02/2017,"4,992.30","5,087.30","5,099.20","4,944.70",107.42M,-5.19%
17/02/2017,"5,265.60","5,289.40","5,301.30","5,206.20",44.09M,-0.89%
16/02/2017,"5,313.20","5,390.40","5,390.40","5,313.20",36.41M,-1.00%
15/02/2017,"5,366.70","5,360.70","5,396.40","5,325.10",30.54M,0.11%
14/02/2017,"5,360.70","5,348.80","5,408.30","5,325.10",36.68M,0.78%
13/02/2017,"5,319.10","5,289.40","5,337.00","5,289.40",18.58M,0.90%
10/2/2017,"5,271.60","5,283.50","5,337.00","5,271.60",32.47M,-0.45%
9/2/2017,"5,295.40","5,337.00","5,366.70","5,283.50",46.72M,-0.22%
8/2/2017,"5,307.20","5,325.10","5,325.10","5,265.60",26.21M,0.11%
7/2/2017,"5,301.30","5,253.80","5,354.80","5,253.80",70.64M,1.13%
6/2/2017,"5,241.90","5,170.60","5,241.90","5,134.90",37.26M,2.08%
3/2/2017,"5,134.90","5,241.90","5,289.40","5,134.90",43.78M,1.17%
2/2/2017,"5,075.50","5,051.70","5,075.50","5,016.00",13.90M,0.95%
25/01/2017,"5,027.90","4,992.30","5,057.60","4,992.30",7.36M,0.71%
24/01/2017,"4,992.30","5,016.00","5,016.00","4,986.30",9.47M,0.00%
23/01/2017,"4,992.30","5,004.10","5,051.70","4,992.30",9.69M,-0.47%
20/01/2017,"5,016.00","4,932.80","5,033.90","4,932.80",9.62M,1.81%
19/01/2017,"4,926.90","4,909.10","4,974.40","4,903.10",15.47M,-0.36%
18/01/2017,"4,944.70","4,992.30","5,022.00","4,944.70",22.76M,-0.95%
17/01/2017,"4,992.30","4,992.30","5,045.70","4,962.50",20.77M,0.00%
16/01/2017,"4,992.30","5,128.90","5,146.80","4,992.30",33.57M,-2.78%
13/01/2017,"5,134.90","5,170.60","5,188.40","5,134.90",20.91M,-1.03%
12/1/2017,"5,188.40","5,253.80","5,253.80","5,188.40",14.73M,-0.80%
11/1/2017,"5,230.00","5,212.20","5,230.00","5,170.60",13.54M,0.34%
10/1/2017,"5,212.20","5,134.90","5,241.90","5,134.90",24.20M,1.62%
9/1/2017,"5,128.90","5,170.60","5,182.40","5,105.20",21.22M,-0.58%
6/1/2017,"5,158.70","5,253.80","5,283.50","5,134.90",34.09M,-1.59%
5/1/2017,"5,241.90","5,235.90","5,265.60","5,230.00",24.47M,0.23%
4/1/2017,"5,230.00","5,265.60","5,289.40","5,212.20",19.02M,0.00%
3/1/2017,"5,230.00","5,146.80","5,247.80","5,134.90",24.68M,1.97%
30/12/2016,"5,128.90","5,134.90","5,164.60","5,128.90",15.96M,-0.12%
29/12/2016,"5,134.90","5,170.60","5,188.40","5,134.90",16.38M,-0.92%
28/12/2016,"5,182.40","5,134.90","5,200.30","5,128.90",28.11M,1.04%
27/12/2016,"5,128.90","5,206.20","5,218.10","5,128.90",31.06M,-1.48%
26/12/2016,"5,206.20","5,158.70","5,212.20","5,146.80",31.02M,1.98%
23/12/2016,"5,105.20","5,051.70","5,134.90","5,004.10",34.60M,1.06%
22/12/2016,"5,051.70","5,004.10","5,134.90","4,992.30",49.66M,1.43%
21/12/2016,"4,980.40","4,932.80","5,010.10","4,920.90",19.50M,1.45%
20/12/2016,"4,909.10","4,932.80","4,962.50","4,903.10",10.64M,-0.48%
19/12/2016,"4,932.80","4,968.50","5,010.10","4,915.00",19.70M,-0.72%
16/12/2016,"4,968.50","4,897.20","5,004.10","4,897.20",29.90M,1.21%
15/12/2016,"4,909.10","4,944.70","4,956.60","4,885.30",14.84M,-0.84%
14/12/2016,"4,950.70","4,819.90","4,968.50","4,819.90",21.35M,2.71%
13/12/2016,"4,819.90","4,837.70","4,855.60","4,790.20",21.78M,-0.37%
12/12/2016,"4,837.70","4,855.60","4,861.50","4,814.00",19.56M,-0.49%
9/12/2016,"4,861.50","4,861.50","4,915.00","4,849.60",20.80M,0.00%
8/12/2016,"4,861.50","4,867.40","4,920.90","4,855.60",15.50M,0.12%
7/12/2016,"4,855.60","4,861.50","4,920.90","4,849.60",24.22M,-0.12%
6/12/2016,"4,861.50","5,051.70","5,063.60","4,825.80",40.18M,-3.54%
5/12/2016,"5,039.80","5,027.90","5,117.10","5,016.00",49.47M,0.47%
2/12/2016,"5,016.00","4,980.40","5,033.90","4,968.50",38.66M,1.08%
1/12/2016,"4,962.50","5,027.90","5,051.70","4,962.50",35.60M,-0.83%
30/11/2016,"5,004.10","4,784.20","5,051.70","4,778.30",49.77M,4.34%
29/11/2016,"4,796.10","4,837.70","4,861.50","4,778.30",23.65M,-0.86%
28/11/2016,"4,837.70","4,956.60","4,962.50","4,814.00",24.76M,-2.51%
25/11/2016,"4,962.50","4,992.30","5,016.00","4,944.70",26.26M,0.12%
24/11/2016,"4,956.60","4,968.50","5,022.00","4,944.70",20.45M,0.12%
23/11/2016,"4,950.70","4,980.40","5,027.90","4,944.70",17.88M,-0.60%
22/11/2016,"4,980.40","5,039.80","5,045.70","4,968.50",24.43M,-0.24%
21/11/2016,"4,992.30","4,920.90","4,992.30","4,885.30",26.78M,1.69%
18/11/2016,"4,909.10","4,956.60","4,998.20","4,897.20",25.14M,-1.20%
17/11/2016,"4,968.50","4,992.30","5,045.70","4,956.60",24.76M,-0.71%
16/11/2016,"5,004.10","4,992.30","5,069.50","4,980.40",34.25M,0.24%
15/11/2016,"4,992.30","4,897.20","5,027.90","4,897.20",37.20M,1.94%
14/11/2016,"4,897.20","4,849.60","4,920.90","4,843.70",32.34M,0.61%
11/11/2016,"4,867.40","4,897.20","4,920.90","4,849.60",27.63M,-1.33%
10/11/2016,"4,932.80","4,968.50","4,974.40","4,926.90",30.83M,1.34%
9/11/2016,"4,867.40","4,932.80","4,932.80","4,695.10",76.29M,-1.33%
8/11/2016,"4,932.80","4,909.10","4,968.50","4,897.20",37.85M,0.97%
7/11/2016,"4,885.30","4,748.60","4,897.20","4,718.90",33.42M,3.79%
