Date,Price,Open,High,Low,Vol.,Change %
30/03/2012,"4,988.80","5,031.80","5,074.80","4,945.80",1.65M,0.00%
29/03/2012,"4,988.80","4,988.80","5,031.80","4,945.80",1.37M,0.00%
28/03/2012,"4,988.80","4,859.80","4,988.80","4,859.80",1.65M,0.87%
27/03/2012,"4,945.80","4,902.80","4,988.80","4,902.80",1.34M,-0.86%
26/03/2012,"4,988.80","4,988.80","4,988.80","4,945.80",815.24K,0.00%
23/03/2012,"4,988.80","4,988.80","4,988.80","4,945.80",517.47K,0.87%
22/03/2012,"4,945.80","5,031.80","5,031.80","4,945.80",653.37K,-1.71%
21/03/2012,"5,031.80","5,031.80","5,074.80","4,988.80",1.05M,0.00%
20/03/2012,"5,031.80","5,074.80","5,074.80","5,031.80",684.28K,-0.85%
19/03/2012,"5,074.80","4,988.80","5,074.80","4,945.80",663.02K,0.00%
16/03/2012,"5,074.80","5,117.90","5,160.90","5,074.80",2.09M,0.00%
15/03/2012,"5,074.80","4,902.80","5,074.80","4,902.80",3.13M,3.51%
14/03/2012,"4,902.80","4,902.80","4,945.80","4,859.80",987.78K,0.00%
13/03/2012,"4,902.80","4,859.80","4,902.80","4,859.80",749.43K,0.88%
12/3/2012,"4,859.80","4,816.80","4,859.80","4,816.80",1.11M,0.00%
9/3/2012,"4,859.80","4,816.80","4,945.80","4,816.80",1.37M,0.00%
8/3/2012,"4,859.80","4,902.80","4,945.80","4,773.80",2.32M,-1.74%
7/3/2012,"4,945.80","4,816.80","4,945.80","4,773.80",1.38M,2.68%
6/3/2012,"4,816.80","5,160.90","5,160.90","4,816.80",2.12M,-3.45%
5/3/2012,"4,988.80","4,816.80","4,988.80","4,816.80",3.10M,4.50%
2/3/2012,"4,773.80","4,730.80","4,773.80","4,687.80",1.21M,0.91%
1/3/2012,"4,730.80","4,730.80","4,730.80","4,687.80",661.28K,0.00%
29/02/2012,"4,730.80","4,687.80","4,730.80","4,644.80",1.11M,0.92%
28/02/2012,"4,687.80","4,644.80","4,730.80","4,644.80",1.25M,-0.91%
27/02/2012,"4,730.80","4,644.80","4,730.80","4,644.80",1.02M,0.92%
24/02/2012,"4,687.80","4,773.80","4,773.80","4,687.80",1.07M,0.00%
23/02/2012,"4,687.80","4,644.80","4,730.80","4,644.80",1.25M,0.00%
22/02/2012,"4,687.80","4,687.80","4,730.80","4,644.80",1.13M,0.93%
21/02/2012,"4,644.80","4,644.80","4,687.80","4,601.80",2.38M,0.00%
20/02/2012,"4,644.80","4,472.70","4,644.80","4,472.70",2.06M,3.85%
17/02/2012,"4,472.70","4,386.70","4,472.70","4,386.70",745.44K,0.97%
16/02/2012,"4,429.70","4,343.70","4,472.70","4,343.70",686.31K,0.98%
15/02/2012,"4,386.70","4,429.70","4,429.70","4,386.70",1.08M,0.00%
14/02/2012,"4,386.70","4,386.70","4,429.70","4,343.70",883.66K,0.00%
13/02/2012,"4,386.70","4,472.70","4,472.70","4,386.70",826.20K,-0.97%
10/2/2012,"4,429.70","4,472.70","4,472.70","4,429.70",1.42M,-0.96%
9/2/2012,"4,472.70","4,429.70","4,472.70","4,386.70",1.12M,0.97%
8/2/2012,"4,429.70","4,386.70","4,429.70","4,343.70",1.22M,1.98%
7/2/2012,"4,343.70","4,343.70","4,386.70","4,300.70",543.52K,0.00%
6/2/2012,"4,343.70","4,343.70","4,386.70","4,300.70",295.81K,0.00%
3/2/2012,"4,343.70","4,386.70","4,386.70","4,343.70",1.32M,-0.98%
2/2/2012,"4,386.70","4,300.70","4,386.70","4,300.70",605.05K,0.99%
1/2/2012,"4,343.70","4,386.70","4,386.70","4,283.50",322.95K,1.61%
31/01/2012,"4,274.90","4,300.70","4,386.70","4,274.90",304.30K,-0.60%
30/01/2012,"4,300.70","4,300.70","4,300.70","4,274.90",236.10K,0.60%
20/01/2012,"4,274.90","4,292.10","4,292.10","4,257.70",515.51K,0.00%
19/01/2012,"4,274.90","4,343.70","4,343.70","4,257.70",636.75K,0.40%
18/01/2012,"4,257.70","4,343.70","4,343.70","4,257.70",364.81K,0.00%
17/01/2012,"4,257.70","4,343.70","4,386.70","4,257.70",540.11K,-2.94%
16/01/2012,"4,386.70","4,300.70","4,429.70","4,300.70",3.31M,2.00%
13/01/2012,"4,300.70","4,214.70","4,300.70","4,214.70",1.11M,1.83%
12/1/2012,"4,223.30","4,197.50","4,257.70","4,197.50",336.01K,-0.81%
11/1/2012,"4,257.70","4,257.70","4,266.30","4,214.70",1.13M,0.00%
10/1/2012,"4,257.70","4,171.70","4,257.70","4,171.70",1.45M,1.43%
9/1/2012,"4,197.50","4,180.30","4,197.50","4,145.90",334.34K,0.41%
6/1/2012,"4,180.30","4,171.70","4,180.30","4,154.50",479.53K,0.83%
5/1/2012,"4,145.90","4,154.50","4,206.10","4,137.30",470.82K,-2.03%
4/1/2012,"4,231.90","4,240.50","4,240.50","4,223.30",215.57K,0.00%
3/1/2012,"4,231.90","4,085.70","4,249.10","4,085.70",542.79K,-1.01%
30/12/2011,"4,274.90","4,292.10","4,292.10","4,214.70",1.18M,0.40%
29/12/2011,"4,257.70","4,214.70","4,257.70","4,145.90",1.02M,1.64%
28/12/2011,"4,188.90","4,197.50","4,197.50","4,163.10",709.60K,0.21%
27/12/2011,"4,180.30","4,206.10","4,206.10","4,171.70",1.01M,-0.61%
26/12/2011,"4,206.10","4,231.90","4,231.90","4,171.70",790.57K,-0.20%
23/12/2011,"4,214.70","4,180.30","4,214.70","4,180.30",180.08K,-1.01%
